scale,series,n_obs,max,min,mean,std,skew,kurtosis,jarque_bera,jb_pvalue,adf_stat,adf_pvalue,adf_lags,adf_nobs
STC,gold_futures,3100.0,6.910271423045702,-8.766475401410469,0.00819132977962728,1.0131011180056273,-0.12457691507125912,8.0202021517218,3250.331858058292,0.0,-16.41912205755772,2.5403756112998864e-29,15.0,3084.0
STC,gold_spot,3100.0,6.631883711461534,-9.82069601185309,0.007955265653688948,1.023986613300026,-0.403977486477789,9.234285701744188,5085.185477489352,0.0,-26.674353383444547,0.0,9.0,3090.0
STC,silver_futures,3100.0,16.93587522130778,-37.410514215261635,0.02242789799731513,2.2044946868814175,-1.7155449399586193,36.575155348027494,146641.68685166066,0.0,-16.72889815066678,1.3884509281048037e-29,19.0,3080.0
STC,silver_spot,3100.0,15.613034409019933,-24.97980959343311,0.03836896862453836,1.9891495931529282,-0.4969407482179612,19.93124397333096,37027.54797665734,0.0,-12.106548036728606,1.9629562210336148e-22,20.0,3079.0
STC,platinum_futures,3100.0,11.315514319532902,-15.856042397590986,0.014595937524367808,1.7578564076868572,-0.3579151569949129,9.324132691122283,5212.29986400065,0.0,-28.320604272517542,0.0,8.0,3091.0
STC,platinum_spot,3100.0,9.516409735520902,-15.208384323372087,0.01709440079111431,1.642707262154596,-0.4176871454831724,9.493838279642382,5516.212906802423,0.0,-13.416087563357486,4.2794204951501555e-25,16.0,3083.0
STC,palladium_futures,3100.0,16.824311725016884,-21.10845094175331,0.009227009452903282,2.33014537177185,-0.523934407681969,10.969110491478748,8314.23887750089,0.0,-24.99610654832818,0.0,9.0,3090.0
STC,palladium_spot,3100.0,15.216457879402128,-16.975716157983797,0.03897905024255065,2.179868845379919,-0.4602447550413883,9.136480669343525,4954.55589733403,0.0,-25.487715678874967,0.0,9.0,3090.0
MTC,gold_futures,3100.0,3.5337306166602946,-3.6884640821483545,0.0030253706901503274,0.5347688858043155,-0.47503350031107733,8.636121246144153,4203.535880706261,0.0,-11.737046972105453,1.3002352331594327e-21,24.0,3075.0
MTC,gold_spot,3100.0,1.4714075601361578,-1.6862893089622177,-0.0005648680794276008,0.3677026566558509,0.061261190927658526,3.8587020928044393,96.44578392554682,1.1404181462406844e-21,-10.100138238948105,1.0648445551136338e-17,23.0,3076.0
MTC,silver_futures,3100.0,1.330487486046583,-1.0563051209960854,-0.005099274645604448,0.3533799700704159,0.46243348887975494,3.8860235026973187,211.01187079846423,1.5113131043880529e-46,-6.3595972494516655,2.4933802266812202e-08,26.0,3073.0
MTC,silver_spot,3100.0,3.913296118613555,-8.231017953264294,-0.006584882003461563,0.7924386212619096,-1.986028219356664,23.200941434900475,54566.10087687858,0.0,-11.851654262574353,7.184784951001836e-22,29.0,3070.0
MTC,platinum_futures,3100.0,3.7073803203243623,-4.71529204601511,0.0053936719577577005,0.6293290691280093,-0.17842244619530392,10.669230699488189,7585.337604702018,0.0,-12.358457328159423,5.616580583334958e-23,26.0,3073.0
MTC,platinum_spot,3100.0,3.5136854880664736,-4.744181871215382,-0.0004560386832265723,0.5881014836488889,-0.49480148811682084,12.119604755937146,10829.64122670859,0.0,-11.097461804777963,3.940981850962523e-20,25.0,3074.0
MTC,palladium_futures,3100.0,3.250385213055248,-2.9549258200674204,0.007321845430991516,0.7418369125382016,-0.05466762852066924,4.572121693331839,318.97402978045244,5.4408843900615e-70,-9.56914296670032,2.3134285766399334e-16,28.0,3071.0
MTC,palladium_spot,3100.0,4.663929241983239,-6.741903106213266,-0.005506044335804179,0.8259655816295217,-0.7014604028694619,11.539194010606781,9637.92664474846,0.0,-11.762126281422699,1.1413842350050163e-21,27.0,3072.0
LTC,gold_futures,3100.0,0.298777680221554,-0.2519774300305003,0.023385971770536855,0.11663941170164685,0.3556010314829303,2.8617251150832015,67.80155250344878,1.8926919789882627e-15,-2.8039766330151115,0.05770797571636329,8.0,3091.0
LTC,gold_spot,3100.0,0.19761089192266718,-0.09643676045080483,0.027066424362023816,0.08368794460533198,0.44581865025283585,2.0802118556357945,211.97408765363636,9.341394488205869e-47,-2.155654665920581,0.22273190213082683,19.0,3080.0
LTC,silver_futures,3100.0,0.2348793130941767,-0.10047147406947732,0.01265781413929616,0.08755395961186974,1.1022439205410828,3.6503228369811884,681.2395482172498,1.1768244355510349e-148,-0.626377080393587,0.8649098125763663,18.0,3081.0
LTC,silver_spot,3100.0,0.7326759277759729,-0.537376495895618,-0.0018579693298575813,0.20633152067984867,0.5204424812114213,4.3476136337370965,372.956091045835,1.0318435013695193e-81,-4.060162069619101,0.0011262622996283651,11.0,3088.0
LTC,platinum_futures,3100.0,0.5695056303743413,-0.7184928297218163,-0.009791728070984792,0.18048294530203826,-0.12108846135231312,5.429295135910399,766.1744155415616,4.239743445281293e-167,-3.8513666266343294,0.0024233900920538074,7.0,3092.0
LTC,platinum_spot,3100.0,0.4015271754633846,-0.4485248214568589,-0.006547937873995423,0.1354351210732681,0.1409393324590475,4.038786406469649,148.66693124000753,5.216582264195649e-33,-4.695379879843743,8.585067692799007e-05,7.0,3092.0
LTC,palladium_futures,3100.0,0.2845340724317864,-0.37214097694621384,0.009430690079929315,0.15047548038245714,-0.5137568270532177,3.232066517631644,143.05869838593296,8.61387075833168e-32,-2.706032363340111,0.07300021118951606,9.0,3090.0
LTC,palladium_spot,3100.0,0.4209183153148324,-0.6138821628198698,-0.007420379589176541,0.2008654168347932,-0.46870713500090516,3.4272485991228656,136.68436632873497,2.086252982213002e-30,-2.9986076578915726,0.03502463225675161,8.0,3091.0
